#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	queryItem2	queryItem
Abcf1	Eef2	10090.ENSMUSP00000036881	10090.ENSMUSP00000046101	0.052	0	0	0	0.218	0.233	0.72	0	0.819	Eef2	Abcf1
Abcf1	Eif3h	10090.ENSMUSP00000036881	10090.ENSMUSP00000022925	0	0	0	0	0.083	0	0.54	0	0.56	Eif3h	Abcf1
Abcf1	Larp1	10090.ENSMUSP00000036881	10090.ENSMUSP00000136673	0	0	0	0	0.131	0.059	0.36	0	0.431	Larp1	Abcf1
Abcf1	Larp1	10090.ENSMUSP00000036881	10090.ENSMUSP00000136673	0	0	0	0	0.131	0.059	0.36	0	0.431	Larp1	Abcf1
Abcf1	Edc4	10090.ENSMUSP00000036881	10090.ENSMUSP00000039134	0	0	0	0	0.064	0.392	0	0	0.406	Edc4	Abcf1
Abcf1	Eif3b	10090.ENSMUSP00000036881	10090.ENSMUSP00000098076	0	0	0	0	0.464	0.066	0	0	0.478	Eif3b	Abcf1
Abcf1	Larp1	10090.ENSMUSP00000036881	10090.ENSMUSP00000136673	0	0	0	0	0.131	0.059	0.36	0	0.431	Larp1	Abcf1
Abcf1	Rpl6	10090.ENSMUSP00000036881	10090.ENSMUSP00000031617	0	0	0	0	0.092	0.216	0.72	0	0.783	Rpl6	Abcf1
Abcf1	Snw1	10090.ENSMUSP00000036881	10090.ENSMUSP00000021428	0	0	0	0	0.121	0.363	0	0	0.416	Snw1	Abcf1
Abcf1	Eif3b	10090.ENSMUSP00000036881	10090.ENSMUSP00000098076	0	0	0	0	0.464	0.066	0	0	0.478	Eif3b	Abcf1
Abcf1	Larp1	10090.ENSMUSP00000036881	10090.ENSMUSP00000136673	0	0	0	0	0.131	0.059	0.36	0	0.431	Larp1	Abcf1
Abcf1	Larp1	10090.ENSMUSP00000036881	10090.ENSMUSP00000136673	0	0	0	0	0.131	0.059	0.36	0	0.431	Larp1	Abcf1
Abcf1	Snw1	10090.ENSMUSP00000036881	10090.ENSMUSP00000021428	0	0	0	0	0.121	0.363	0	0	0.416	Snw1	Abcf1
Abcf1	Eif3b	10090.ENSMUSP00000036881	10090.ENSMUSP00000098076	0	0	0	0	0.464	0.066	0	0	0.478	Eif3b	Abcf1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Zc3h18	10090.ENSMUSP00000022793	10090.ENSMUSP00000017622	0	0	0	0	0.203	0.498	0	0	0.583	Zc3h18	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Pabpn1	10090.ENSMUSP00000022793	10090.ENSMUSP00000022808	0	0	0	0	0.148	0.56	0	0	0.609	Pabpn1	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Zc3h18	10090.ENSMUSP00000022793	10090.ENSMUSP00000017622	0	0	0	0	0.203	0.498	0	0	0.583	Zc3h18	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srpk1	10090.ENSMUSP00000022793	10090.ENSMUSP00000116259	0	0	0	0	0.052	0.439	0	0	0.445	Srpk1	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Prpf40a	10090.ENSMUSP00000022793	10090.ENSMUSP00000075655	0	0	0	0	0.097	0.404	0	0	0.438	Prpf40a	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0.34	0.666	0	0	0.77	Srrm1	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0.762	0.404	0	0	0.852	Srrm2	Acin1
Adam10	Ctnnd1	10090.ENSMUSP00000063839	10090.ENSMUSP00000064518	0	0	0	0	0	0	0.585	0	0.585	Ctnnd1	Adam10
Adam10	Ctnnd1	10090.ENSMUSP00000063839	10090.ENSMUSP00000064518	0	0	0	0	0	0	0.585	0	0.585	Ctnnd1	Adam10
Adam10	Ctnnd1	10090.ENSMUSP00000063839	10090.ENSMUSP00000064518	0	0	0	0	0	0	0.585	0	0.585	Ctnnd1	Adam10
Adam10	Ctnnd1	10090.ENSMUSP00000063839	10090.ENSMUSP00000064518	0	0	0	0	0	0	0.585	0	0.585	Ctnnd1	Adam10
Adam10	Ctnnd1	10090.ENSMUSP00000063839	10090.ENSMUSP00000064518	0	0	0	0	0	0	0.585	0	0.585	Ctnnd1	Adam10
Adam10	Ctnnd1	10090.ENSMUSP00000063839	10090.ENSMUSP00000064518	0	0	0	0	0	0	0.585	0	0.585	Ctnnd1	Adam10
Akap12	Cavin1	10090.ENSMUSP00000035829	10090.ENSMUSP00000058321	0	0	0	0	0.718	0	0	0	0.718	Cavin1	Akap12
Akap12	Cavin1	10090.ENSMUSP00000035829	10090.ENSMUSP00000058321	0	0	0	0	0.718	0	0	0	0.718	Cavin1	Akap12
Akap12	Cavin1	10090.ENSMUSP00000035829	10090.ENSMUSP00000058321	0	0	0	0	0.718	0	0	0	0.718	Cavin1	Akap12
Akap8	Eef1b	10090.ENSMUSP00000002699	10090.ENSMUSP00000116492	0	0	0	0	0.061	0.403	0	0	0.415	Eef1b	Akap8
