Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",47,119,0.007878707627118644,1.1102230246251565E-16,9.303668946358812E-14,5,5,3.6247643903146296E-4,9606,Homo sapiens,"SRP19;RPL5;TRAM1;RPL30;RPL3;RPN2;RPL31;RPLP1;RPL12;RPLP0;RPL9;RPL7A;SEC61A1;SRP72;RPS18;RPS3;SSR1;RPLP2;RPL37;RPS10;SEC11C;SSR4;RPL23;RPS6;RPL22;RPL13A;RPL23A;RPSA;SRP68;RPL3L;SPCS3;RPS25;SPCS2;SPCS1;RPS27;SRPRA;SRPRB;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-72766,"Translation",78,339,0.022444385593220338,1.1102230246251565E-16,9.303668946358812E-14,69,99,0.007177033492822967,9606,Homo sapiens,"SRP19;RPL5;TRAM1;RPL30;RPL3;VARS;RPL31;RPLP1;RPLP0;RPL9;FARS2;NARS;EEF1B2;RPL7A;SEC61A1;MRPL1;RPS18;NARS2;RPLP2;RPL37;RPS10;RARS2;SSR4;MRPS25;MARS2;RPL23;RPS6;RPL22;AIP;RPL13A;SARS;RPSA;EEF1A1;MRPS9;SARS2;RPL27;ETF1;RPL26;RPL29;EEF1E1;UBA52;RPN2;RPL12;TARS;MTIF2;SRP72;LARS;RPS3;SSR1;HARS;EIF4B;SEC11C;GADD45GIP1;YARS;PTCD3;EIF2B4;EIF2B3;RPL23A;SRP68;EIF2S2;MRPL24;RPL3L;SPCS3;RPS25;SPCS2;SPCS1;RPS27;EIF3J;SRPRA;EIF3G;SRPRB;RPL22L1;AARS","","R-HSA-1799326;R-HSA-5368279;R-HSA-156808;R-HSA-380042;R-HSA-72722;R-HSA-156823;R-HSA-156826;R-HSA-157849;R-HSA-156832;R-HSA-72619;R-HSA-72621;R-HSA-380203;R-HSA-5419261;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332;R-HSA-5389842;R-HSA-379844;R-HSA-5419281;R-HSA-379974;R-HSA-380224;R-HSA-72647;R-HSA-380227;R-HSA-379980;R-HSA-5389848;R-HSA-380239;R-HSA-5389849;R-HSA-379982;R-HSA-379861;R-HSA-5419264;R-HSA-5419271;R-HSA-72663;R-HSA-379996;R-HSA-5419273;R-HSA-379865;R-HSA-379993;R-HSA-72669;R-HSA-379864;R-HSA-5419279;R-HSA-5389839;R-HSA-379992;R-HSA-379867;R-HSA-72671;R-HSA-5419277;R-HSA-379994;R-HSA-72670;R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-141671;R-HSA-380002;R-HSA-156907;R-HSA-141673;R-HSA-156910;R-HSA-380008;R-HSA-6800138;R-HSA-156908;R-HSA-156909;R-HSA-379893;R-HSA-156915;R-HSA-72691;R-HSA-156912;R-HSA-5389857;R-HSA-156913;R-HSA-72697;R-HSA-380157;R-HSA-156923;R-HSA-141691"
R-HSA-1474244,"Extracellular matrix organization",69,329,0.0217823093220339,2.390310172017962E-13,1.3361833861580408E-10,242,319,0.023125996810207338,9606,Homo sapiens,"ITGB1;PRSS1;SPARC;PTPRS;ITGB5;COL12A1;PLOD3;LAMC2;PLOD2;PLOD1;LOXL1;LOXL2;ICAM1;ADAMTS2;EFEMP1;SH3PXD2A;CASP3;DAG1;EMILIN1;ITGAV;ITGB6;PRSS2;COLGALT1;CTSB;MMP7;CTRB2;MMP2;ITGA2;ACTN1;P3H1;PCOLCE;MMP14;VCAN;COL8A1;ADAM9;TKT;PPIB;PLEC;COL17A1;KLK1;COL11A1;LAMA3;FBLN1;LTBP3;LTBP1;FBLN2;THBS1;SERPINH1;CRTAP;TGFB1;LAMB3;TGFB3;FN1;COL1A1;COL3A1;COL1A2;P4HA1;COL5A1;P4HA2;MFAP2;COL5A2;SDC1;P4HB;FBN1","","R-HSA-8944266;R-HSA-2002460;R-HSA-2473511;R-HSA-216064;R-HSA-1564179;R-HSA-1592349;R-HSA-216068;R-HSA-2545196;R-HSA-216076;R-HSA-1564184;R-HSA-1564164;R-HSA-2002440;R-HSA-2533950;R-HSA-1564169;R-HSA-2533944;R-HSA-2250301;R-HSA-2482180;R-HSA-1592371;R-HSA-1592362;R-HSA-8941234;R-HSA-2002466;R-HSA-2537499;R-HSA-2426471;R-HSA-2465890;R-HSA-2467436;R-HSA-1604690;R-HSA-2752125;R-HSA-2473584;R-HSA-1592398;R-HSA-8942302;R-HSA-2473596;R-HSA-2731123;R-HSA-1592387;R-HSA-2731122;R-HSA-2395257;R-HSA-2752118;R-HSA-2731081;R-HSA-1650808;R-HSA-2328129;R-HSA-1604732;R-HSA-2731075;R-HSA-1604722;R-HSA-2731074;R-HSA-2533965;R-HSA-1592436;R-HSA-2396234;R-HSA-2731078;R-HSA-1604712;R-HSA-2395223;R-HSA-2684507;R-HSA-2533970;R-HSA-2426450;R-HSA-2168923;R-HSA-2465883;R-HSA-8948232;R-HSA-8948234;R-HSA-2395302;R-HSA-1474196;R-HSA-8940554;R-HSA-1474197;R-HSA-1604763;R-HSA-2426530;R-HSA-8948224;R-HSA-1604752;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-4084912;R-HSA-8948231;R-HSA-4084910;R-HSA-204434;R-HSA-2396337;R-HSA-2395314;R-HSA-2327733;R-HSA-2395324;R-HSA-2327738;R-HSA-4084903;R-HSA-8940561;R-HSA-2395320;R-HSA-1604741;R-HSA-2395322;R-HSA-2168960;R-HSA-2161282;R-HSA-2731149;R-HSA-2022073;R-HSA-1454781;R-HSA-2327695;R-HSA-2731141;R-HSA-1981104;R-HSA-1454757;R-HSA-1474213;R-HSA-1474210;R-HSA-2484882;R-HSA-2470555;R-HSA-2484965;R-HSA-2395364;R-HSA-2299620;R-HSA-265423;R-HSA-2396399;R-HSA-1474266;R-HSA-2168046;R-HSA-2396395;R-HSA-265428;R-HSA-265429;R-HSA-1454791;R-HSA-8944218;R-HSA-265424;R-HSA-265425;R-HSA-1981128;R-HSA-265426;R-HSA-8944223;R-HSA-265427;R-HSA-2327803;R-HSA-1605825;R-HSA-1981120;R-HSA-8944214;R-HSA-8944232;R-HSA-2471621;R-HSA-2327746;R-HSA-2022141;R-HSA-3787997;R-HSA-2395328;R-HSA-1566962;R-HSA-1604350;R-HSA-2537665;R-HSA-3907292;R-HSA-2395340;R-HSA-8944225;R-HSA-8944227;R-HSA-1454843;R-HSA-1454822;R-HSA-2396370;R-HSA-8944240;R-HSA-1981157;R-HSA-3828025;R-HSA-1604368;R-HSA-3791155;R-HSA-1604360;R-HSA-2426676;R-HSA-1566981;R-HSA-1566979;R-HSA-3791149;R-HSA-1458433;R-HSA-198941;R-HSA-2466106;R-HSA-1604359;R-HSA-3788061;R-HSA-4084505;R-HSA-2534160;R-HSA-2514790;R-HSA-2327909;R-HSA-2534240;R-HSA-4086132;R-HSA-2534248;R-HSA-2534260;R-HSA-2485111;R-HSA-1980233;R-HSA-2396029;R-HSA-4085087;R-HSA-2681675;R-HSA-4085083;R-HSA-2213192;R-HSA-2681667;R-HSA-2327886;R-HSA-2467659;R-HSA-2213201;R-HSA-2213200;R-HSA-2514772;R-HSA-8948219;R-HSA-2213205;R-HSA-2152276;R-HSA-2243926;R-HSA-8948222;R-HSA-2213207;R-HSA-2243931;R-HSA-2681681;R-HSA-114563;R-HSA-4086204;R-HSA-1602458;R-HSA-210304;R-HSA-4086205;R-HSA-4086200;R-HSA-3791295;R-HSA-199050;R-HSA-2424246;R-HSA-2424243;R-HSA-2396083;R-HSA-2424252;R-HSA-2466238;R-HSA-349593;R-HSA-1602488;R-HSA-2467716;R-HSA-2514823;R-HSA-4088220;R-HSA-4088218;R-HSA-349603;R-HSA-2514831;R-HSA-2426263;R-HSA-4085133;R-HSA-2426259;R-HSA-2485148;R-HSA-1602466;R-HSA-349626;R-HSA-2328033;R-HSA-1564117;R-HSA-2328037;R-HSA-4539779;R-HSA-1564112;R-HSA-2129385;R-HSA-1592278;R-HSA-1564120;R-HSA-202706;R-HSA-2328048;R-HSA-2533874;R-HSA-2426355;R-HSA-8943959;R-HSA-202723;R-HSA-2002428;R-HSA-1592316;R-HSA-216043;R-HSA-2129353;R-HSA-216040;R-HSA-2089971;R-HSA-2129357;R-HSA-3785684;R-HSA-216045;R-HSA-9679740;R-HSA-216051;R-HSA-216050;R-HSA-4086223;R-HSA-1592297;R-HSA-2129362;R-HSA-216048;R-HSA-2396113;R-HSA-4086216;R-HSA-4088264;R-HSA-2396124;R-HSA-1564143;R-HSA-216058;R-HSA-1564142;R-HSA-216061;R-HSA-2129375"
R-HSA-156842,"Eukaryotic Translation Elongation",35,102,0.006753177966101695,6.781242234410456E-13,2.7007296399261804E-10,8,9,6.524575902566333E-4,9606,Homo sapiens,"RPL5;RPL30;RPL3;RPL31;RPLP1;RPL12;RPLP0;RPL9;EEF1B2;RPL7A;RPS18;RPS3;RPLP2;RPL37;RPS10;RPL23;RPS6;RPL22;RPL13A;RPL23A;RPSA;RPL3L;EEF1A1;RPS25;RPS27;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156910;R-HSA-156908;R-HSA-156909"
R-HSA-156902,"Peptide chain elongation",34,97,0.006422139830508475,8.127942763280771E-13,2.7007296399261804E-10,4,5,3.6247643903146296E-4,9606,Homo sapiens,"RPL5;RPL30;RPL3;RPL31;RPLP1;RPL12;RPLP0;RPL9;RPL7A;RPS18;RPS3;RPLP2;RPL37;RPS10;RPL23;RPS6;RPL22;RPL13A;RPL23A;RPSA;RPL3L;EEF1A1;RPS25;RPS27;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907"
R-HSA-9633012,"Response of EIF2AK4 (GCN2) to amino acid deficiency",37,115,0.0076138771186440675,9.68003455170674E-13,2.7007296399261804E-10,8,16,0.0011599246049006815,9606,Homo sapiens,"RPL5;RPL30;RPL3;RPL31;RPLP1;RPL12;RPLP0;RPL9;RPL7A;RPS18;RPS3;RPLP2;RPL37;RPS10;RPL23;RPS6;RPL22;ASNS;RPL13A;RPL23A;RPSA;EIF2S2;RPL3L;RPS25;IMPACT;RPS27;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-9650722;R-HSA-9633008;R-HSA-1791118;R-HSA-9635915;R-HSA-9633742;R-HSA-381128;R-HSA-9634669;R-HSA-9633005"
R-HSA-72613,"Eukaryotic Translation Initiation",39,130,0.008606991525423728,1.9200196987867457E-12,3.3566127655149103E-10,18,21,0.0015224010439321444,9606,Homo sapiens,"RPL5;RPL30;RPL3;RPL31;RPLP1;RPL12;RPLP0;RPL9;RPL7A;RPS18;RPS3;RPLP2;RPL37;RPS10;EIF4B;EIF2B4;EIF2B3;RPL23;RPS6;RPL22;RPL13A;RPL23A;RPSA;EIF2S2;RPL3L;RPS25;RPS27;EIF3J;EIF3G;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-72697;R-HSA-156826;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72737,"Cap-dependent Translation Initiation",39,130,0.008606991525423728,1.9200196987867457E-12,3.3566127655149103E-10,15,18,0.0013049151805132667,9606,Homo sapiens,"RPL5;RPL30;RPL3;RPL31;RPLP1;RPL12;RPLP0;RPL9;RPL7A;RPS18;RPS3;RPLP2;RPL37;RPS10;EIF4B;EIF2B4;EIF2B3;RPL23;RPS6;RPL22;RPL13A;RPL23A;RPSA;EIF2S2;RPL3L;RPS25;RPS27;EIF3J;EIF3G;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72691;R-HSA-72722;R-HSA-72663;R-HSA-72697;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72689,"Formation of a pool of free 40S subunits",35,106,0.007018008474576272,1.9516610549885627E-12,3.3566127655149103E-10,2,2,1.449905756125852E-4,9606,Homo sapiens,"RPL5;RPL30;RPL3;RPL31;RPLP1;RPL12;RPLP0;RPL9;RPL7A;RPS18;RPS3;RPLP2;RPL37;RPS10;RPL23;RPS6;RPL22;RPL13A;RPL23A;RPSA;RPL3L;RPS25;RPS27;EIF3J;EIF3G;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-72673;R-HSA-72676"
R-HSA-2408557,"Selenocysteine synthesis",36,112,0.007415254237288136,2.0099477637813834E-12,3.3566127655149103E-10,5,7,5.074670146440482E-4,9606,Homo sapiens,"RPL5;RPL30;RPL3;RPL31;RPLP1;RPL12;RPLP0;RPL9;RPL7A;RPS18;RPS3;RPLP2;RPL37;RPS10;EEFSEC;RPL23;RPS6;RPL22;RPL13A;SARS;RPL23A;RPSA;RPL3L;SEPSECS;RPS25;RPS27;RPL27;RPL22L1;RPL26;RPL29;UBA52","","R-HSA-2408529;R-HSA-2408509;R-HSA-2408526;R-HSA-5333615;R-HSA-2408555"
