Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-75153,"Apoptotic execution phase",12,54,0.0035752118644067797,4.36730873687452E-10,3.803925909817707E-7,16,57,0.004132231404958678,9606,Homo sapiens,"Lmna;Tjp1;H1-5;H1-4;Acin1;Vim;H1-1;Pak2;Tjp2;Plec;Dnm1l;Sptan1","","R-HSA-211651;R-HSA-211650;R-HSA-211712;R-HSA-211239;R-HSA-264865;R-HSA-201637;R-HSA-351948;R-HSA-350319;R-HSA-350318;R-HSA-351913;R-HSA-211247;R-HSA-202967;R-HSA-351871;R-HSA-211583;R-HSA-201630;R-HSA-201628"
R-HSA-72613,"Eukaryotic Translation Initiation",16,130,0.008606991525423728,2.661986853169651E-9,6.5275218108507E-7,21,21,0.0015224010439321444,9606,Homo sapiens,"Rplp2;Rpl13;Eif4ebp1;Eif4g1;Rpl26;Rpl15;Eif3b;Eif4b;Rpl6;Eif3c;Eif5b;Rpl22l1;Rplp0;Eif2s2","","R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72631;R-HSA-72663;R-HSA-72697;R-HSA-156826;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72737,"Cap-dependent Translation Initiation",16,130,0.008606991525423728,2.661986853169651E-9,6.5275218108507E-7,18,18,0.0013049151805132667,9606,Homo sapiens,"Rplp2;Rpl13;Eif4ebp1;Eif4g1;Rpl26;Rpl15;Eif3b;Eif4b;Rpl6;Eif3c;Eif5b;Rpl22l1;Rplp0;Eif2s2","","R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-72631;R-HSA-72663;R-HSA-72697;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-8953854,"Metabolism of RNA",40,788,0.052171610169491525,3.0080745672123044E-9,6.5275218108507E-7,69,187,0.013556618819776715,9606,Homo sapiens,"Tnks1bp1;Hnrnpu;Rpl13;Eif4g1;Rpl15;Rpl6;Edc4;Sf3a1;U2af2;Tpr;Srsf1;Supt5h;Srsf7;Srsf6;Srsf4;Psmd4;Rplp2;Psmd1;Rpl26;Pabpn1;Nop58;Eif4b;Hnrnpa3;Srsf10;Srrm1;Ranbp2;Snw1;Nup214;Rpl22l1;Hnrnpc;Dkc1;Rplp0;Thumpd1;Ncl;Nup155;Xrn2;Hnrnpk;Srrm2","","R-HSA-8849157;R-HSA-429955;R-HSA-8941312;R-HSA-77073;R-HSA-450580;R-HSA-77587;R-HSA-158481;R-HSA-77077;R-HSA-158484;R-HSA-77591;R-HSA-77078;R-HSA-77593;R-HSA-77081;R-HSA-77592;R-HSA-77083;R-HSA-77594;R-HSA-6783483;R-HSA-77085;R-HSA-6790907;R-HSA-6790906;R-HSA-6790905;R-HSA-927889;R-HSA-429860;R-HSA-927789;R-HSA-77090;R-HSA-450466;R-HSA-450595;R-HSA-72103;R-HSA-72231;R-HSA-72107;R-HSA-6790987;R-HSA-429992;R-HSA-72124;R-HSA-72127;R-HSA-72130;R-HSA-430021;R-HSA-159046;R-HSA-75079;R-HSA-75081;R-HSA-159050;R-HSA-75080;R-HSA-72139;R-HSA-75083;R-HSA-927813;R-HSA-75082;R-HSA-72143;R-HSA-111439;R-HSA-6791222;R-HSA-927836;R-HSA-6791221;R-HSA-191825;R-HSA-191830;R-HSA-6791218;R-HSA-450387;R-HSA-927832;R-HSA-75097;R-HSA-927830;R-HSA-75096;R-HSA-75098;R-HSA-6791228;R-HSA-6791227;R-HSA-72160;R-HSA-158441;R-HSA-158447;R-HSA-450551;R-HSA-72180;R-HSA-156661;R-HSA-72185;R-HSA-159101"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",15,120,0.007944915254237288,6.871630819915708E-9,1.1956637626653333E-6,3,3,2.1748586341887777E-4,9606,Homo sapiens,"Rplp2;Rpl13;Eif4g1;Rpl26;Rpl15;Eif3b;Eif4b;Rpl6;Eif3c;Eif5b;Rpl22l1;Rplp0;Eif2s2","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",14,120,0.007944915254237288,5.098400490677335E-8,7.0033442547412506E-6,3,3,2.1748586341887777E-4,9606,Homo sapiens,"Rpl22l1;Rplp0;Rplp2;Rpl13;Eif4g1;Eif2s2;Rpl26;Rpl15;Eif3b;Eif4b;Rpl6;Eif3c","","R-HSA-156832;R-HSA-156823;R-HSA-156826"
R-HSA-156842,"Eukaryotic Translation Elongation",13,102,0.006753177966101695,5.6478582699526214E-8,7.0033442547412506E-6,7,9,6.524575902566333E-4,9606,Homo sapiens,"Eef1d;Rpl22l1;Rplp0;Eef1g;Rplp2;Rpl13;Rpl26;Rpl15;Eef1b;Eef2;Rpl6","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156910"
R-HSA-72766,"Translation",22,339,0.022444385593220338,2.696277271452274E-7,2.7038203111118264E-5,36,99,0.007177033492822967,9606,Homo sapiens,"Eef1d;Ssr3;Eef1g;Rplp2;Rpl13;Eif4ebp1;Eif4g1;Rpl26;Rpl15;Eef1b;Eef2;Eif3b;Eif4b;Rpl6;Eif3c;Eif5b;Rpl22l1;Rplp0;Ssr1;Eif2s2","","R-HSA-156930;R-HSA-1799326;R-HSA-72647;R-HSA-156808;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-156826;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670;R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-141671;R-HSA-156907;R-HSA-72619;R-HSA-141673;R-HSA-72621;R-HSA-156910;R-HSA-72622;R-HSA-156915;R-HSA-72691;R-HSA-156912;R-HSA-156913;R-HSA-72631;R-HSA-72697;R-HSA-156923;R-HSA-1799330;R-HSA-141691;R-HSA-1799329;R-HSA-72635;R-HSA-1799335;R-HSA-1799332"
R-HSA-72203,"Processing of Capped Intron-Containing Pre-mRNA",19,258,0.01708156779661017,2.816479490741486E-7,2.7038203111118264E-5,31,32,0.002319849209801363,9606,Homo sapiens,"Srsf7;Srsf6;Srsf4;Hnrnpu;Pabpn1;Hnrnpa3;Srsf10;Srrm1;Sf3a1;Ranbp2;Snw1;Nup214;Hnrnpc;U2af2;Nup155;Tpr;Srsf1;Hnrnpk;Srrm2","","R-HSA-8849157;R-HSA-72130;R-HSA-159046;R-HSA-75079;R-HSA-75081;R-HSA-159050;R-HSA-75080;R-HSA-72139;R-HSA-75083;R-HSA-75082;R-HSA-72143;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-77594;R-HSA-72160;R-HSA-72103;R-HSA-72231;R-HSA-72107;R-HSA-158441;R-HSA-158447;R-HSA-72180;R-HSA-156661;R-HSA-72185;R-HSA-72124;R-HSA-72127;R-HSA-159101"
R-HSA-5357801,"Programmed Cell Death",18,238,0.015757415254237288,3.9960201303479437E-7,3.476537513402711E-5,26,197,0.01428157169783964,9606,Homo sapiens,"Aven;Psmd4;Acin1;Psmd1;Chmp3;H1-1;Dnm1l;Sptan1;Hsp90aa1;Lmna;Tjp1;H1-5;H1-4;Akt2;Vim;Pak2;Tjp2;Plec","","R-HSA-211715;R-HSA-211651;R-HSA-211650;R-HSA-211712;R-HSA-211716;R-HSA-198347;R-HSA-351948;R-HSA-9698844;R-HSA-9647619;R-HSA-211731;R-HSA-114256;R-HSA-202967;R-HSA-211734;R-HSA-9688459;R-HSA-201630;R-HSA-201628;R-HSA-6805507;R-HSA-211239;R-HSA-264865;R-HSA-201637;R-HSA-350319;R-HSA-350318;R-HSA-351913;R-HSA-211247;R-HSA-351871;R-HSA-211583"
R-HSA-109581,"Apoptosis",16,192,0.012711864406779662,5.134783164217893E-7,4.0564786997321356E-5,23,141,0.010221835580687256,9606,Homo sapiens,"Aven;Psmd4;Acin1;Psmd1;H1-1;Dnm1l;Sptan1;Lmna;Tjp1;H1-5;H1-4;Akt2;Vim;Pak2;Tjp2;Plec","","R-HSA-211715;R-HSA-211651;R-HSA-211650;R-HSA-211712;R-HSA-6805507;R-HSA-211239;R-HSA-264865;R-HSA-201637;R-HSA-211716;R-HSA-198347;R-HSA-351948;R-HSA-350319;R-HSA-350318;R-HSA-351913;R-HSA-211247;R-HSA-211731;R-HSA-114256;R-HSA-202967;R-HSA-211734;R-HSA-351871;R-HSA-211583;R-HSA-201630;R-HSA-201628"
