Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",14,119,0.007878707627118644,1.371772254676884E-7,1.3429650373286695E-4,5,5,3.6247643903146296E-4,9606,Homo sapiens,"Tram1;Sec61g;Srp68;Ssr4;Ssr3;Rps5;Rplp1;Fau;Rpl39;Rpl29;Srp19;Rps24","","R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-76009,"Platelet Aggregation (Plug Formation)",9,53,0.003509004237288136,1.3142363503027E-6,6.426615752980203E-4,24,27,0.0019573727707699,9606,Homo sapiens,"Fgb;Col1a2;Fga;Ptpn1;Rap1b;Col1a1;Fgg;Fn1;Grb2","","R-HSA-443910;R-HSA-354149;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-429441;R-HSA-443905;R-HSA-354124;R-HSA-354060;R-HSA-377644;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-939265;R-HSA-372693;R-HSA-354165;R-HSA-354097;R-HSA-354066;R-HSA-354077;R-HSA-354173;R-HSA-372697;R-HSA-354073;R-HSA-429529"
R-HSA-354194,"GRB2:SOS provides linkage to MAPK signaling for Integrins ",6,20,0.0013241525423728813,3.315381968294062E-6,8.089532002637512E-4,2,2,1.449905756125852E-4,9606,Homo sapiens,"Fgb;Fga;Rap1b;Fgg;Fn1;Grb2","","R-HSA-354165;R-HSA-354087"
R-HSA-76002,"Platelet activation, signaling and aggregation",19,293,0.019398834745762712,6.585626707966696E-6,0.0011061067615248943,48,116,0.00840945338552994,9606,Homo sapiens,"Fgb;Col1a2;Fga;Rap1b;Col1a1;Ahsg;Gna14;Fgg;Pzp;Fn1;F13a1;Clu;Fermt3;Ptpn1;Psap;Alb;Rac2;Flna;Grb2","","R-HSA-443910;R-HSA-139842;R-HSA-396996;R-HSA-429441;R-HSA-443905;R-HSA-428750;R-HSA-354060;R-HSA-354124;R-HSA-428941;R-HSA-428749;R-HSA-443402;R-HSA-397835;R-HSA-939265;R-HSA-372693;R-HSA-418581;R-HSA-482772;R-HSA-418579;R-HSA-418576;R-HSA-430096;R-HSA-428752;R-HSA-453200;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-443418;R-HSA-372697;R-HSA-429529;R-HSA-354149;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-442273;R-HSA-481007;R-HSA-351341;R-HSA-377644;R-HSA-114600;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-354097;R-HSA-354173;R-HSA-437118;R-HSA-453183;R-HSA-430076;R-HSA-114558;R-HSA-430073"
R-HSA-445355,"Smooth Muscle Contraction",8,49,0.0032441737288135594,6.785931052299965E-6,0.0011061067615248943,7,11,7.974481658692185E-4,9606,Homo sapiens,"Myl6;Tpm2;Tpm1;Myh11;Anxa2;Myl9;Mylk","","R-HSA-445700;R-HSA-445813;R-HSA-445797;R-HSA-445699;R-HSA-5263628;R-HSA-445704;R-HSA-445705"
R-HSA-354192,"Integrin signaling",7,39,0.0025820974576271187,1.406484496824234E-5,0.0017159110861255655,23,24,0.0017398869073510222,9606,Homo sapiens,"Fgb;Fga;Ptpn1;Rap1b;Fgg;Fn1;Grb2","","R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-429441;R-HSA-443905;R-HSA-377644;R-HSA-354124;R-HSA-354060;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-939265;R-HSA-372693;R-HSA-354165;R-HSA-354097;R-HSA-354066;R-HSA-354173;R-HSA-354077;R-HSA-372697;R-HSA-354073"
R-HSA-114608,"Platelet degranulation ",12,141,0.009335275423728813,2.6990991562558797E-5,0.00291502708875635,3,11,7.974481658692185E-4,9606,Homo sapiens,"Fgb;Fga;Ahsg;Psap;Alb;Fgg;Pzp;Flna;Fn1;F13a1;Clu;Fermt3","","R-HSA-482772;R-HSA-481007;R-HSA-351341"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",12,148,0.009798728813559322,4.28353659551739E-5,0.004155030497651868,3,14,0.0010149340292880964,9606,Homo sapiens,"Fgb;Fga;Ahsg;Psap;Alb;Fgg;Pzp;Flna;Fn1;F13a1;Clu;Fermt3","","R-HSA-482772;R-HSA-481007;R-HSA-351341"
R-HSA-5674135,"MAP2K and MAPK activation",7,49,0.0032441737288135594,5.896039497288452E-5,0.004869522722276587,10,12,8.699434536755111E-4,9606,Homo sapiens,"Fgb;Fga;Lamtor3;Rap1b;Fgg;Fn1;Iqgap1","","R-HSA-9657603;R-HSA-5672980;R-HSA-5674132;R-HSA-5672978;R-HSA-5674130;R-HSA-9657606;R-HSA-5672972;R-HSA-9657608;R-HSA-5672973;R-HSA-9657599"
R-HSA-168249,"Innate Immune System",47,1338,0.08858580508474577,6.0117564472550455E-5,0.004869522722276587,185,710,0.05147165434246774,9606,Homo sapiens,"Grn;Ahsg;Eef1a1;Cotl1;Pld4;Clu;Aprt;Atp6v1c1;C3;Ctss;Vtn;Rac2;Irak4;Iqgap1;Psmb9;Acp1;Igf2r;Cstb;Dynll1;Muc6;Fgb;Dsp;Creb1;Fga;Lamtor3;Nfasc;Rap1b;Igh-3;Fgg;Krt1;Hp;Sugt1;C4b;Reg3a;Cpn2;Rab5b;Psap;Bin2;Surf4;Reg3g;Grb2;Anxa2;Gusb;Chga","","R-HSA-975118;R-HSA-6801766;R-HSA-8858500;R-HSA-6801762;R-HSA-975115;R-HSA-975878;R-HSA-975879;R-HSA-975111;R-HSA-975874;R-HSA-975106;R-HSA-8852874;R-HSA-975873;R-HSA-975134;R-HSA-981535;R-HSA-6801776;R-HSA-975125;R-HSA-879377;R-HSA-981539;R-HSA-937022;R-HSA-1006143;R-HSA-1296421;R-HSA-975160;R-HSA-8951486;R-HSA-173626;R-HSA-975156;R-HSA-173631;R-HSA-2730856;R-HSA-975180;R-HSA-2730858;R-HSA-2730860;R-HSA-5432852;R-HSA-173636;R-HSA-844612;R-HSA-2730848;R-HSA-2730851;R-HSA-975170;R-HSA-6800426;R-HSA-844610;R-HSA-183122;R-HSA-1678920;R-HSA-183126;R-HSA-6800434;R-HSA-183130;R-HSA-975188;R-HSA-2530429;R-HSA-2730870;R-HSA-166753;R-HSA-1222516;R-HSA-5607731;R-HSA-976743;R-HSA-874087;R-HSA-8851436;R-HSA-937059;R-HSA-2730841;R-HSA-2730840;R-HSA-173680;R-HSA-2730842;R-HSA-6810643;R-HSA-2730844;R-HSA-2730847;R-HSA-2730833;R-HSA-937079;R-HSA-5607724;R-HSA-981621;R-HSA-2730837;R-HSA-2424484;R-HSA-2029471;R-HSA-2424485;R-HSA-2424486;R-HSA-6789092;R-HSA-8853252;R-HSA-2424487;R-HSA-2029466;R-HSA-2029467;R-HSA-2424481;R-HSA-8852481;R-HSA-166795;R-HSA-166792;R-HSA-981637;R-HSA-166286;R-HSA-2029458;R-HSA-2029459;R-HSA-166284;R-HSA-976768;R-HSA-2029457;R-HSA-173709;R-HSA-2559414;R-HSA-8870678;R-HSA-6808566;R-HSA-2029455;R-HSA-6799350;R-HSA-2029452;R-HSA-2029453;R-HSA-2396599;R-HSA-844440;R-HSA-981658;R-HSA-2029451;R-HSA-2396594;R-HSA-2029449;R-HSA-173723;R-HSA-173720;R-HSA-2396606;R-HSA-2197691;R-HSA-166041;R-HSA-2197690;R-HSA-1678981;R-HSA-981648;R-HSA-173725;R-HSA-2730889;R-HSA-2730888;R-HSA-166817;R-HSA-976810;R-HSA-2730892;R-HSA-173739;R-HSA-2730885;R-HSA-2855047;R-HSA-8852266;R-HSA-173740;R-HSA-173745;R-HSA-2530453;R-HSA-2396561;R-HSA-173754;R-HSA-2424476;R-HSA-2424477;R-HSA-166072;R-HSA-2029476;R-HSA-5432814;R-HSA-981680;R-HSA-166082;R-HSA-977359;R-HSA-977615;R-HSA-2201316;R-HSA-964811;R-HSA-2029272;R-HSA-2029273;R-HSA-2029270;R-HSA-166091;R-HSA-2029271;R-HSA-2029268;R-HSA-2201322;R-HSA-977605;R-HSA-977602;R-HSA-3266557;R-HSA-8852809;R-HSA-977375;R-HSA-873951;R-HSA-977629;R-HSA-199895;R-HSA-977626;R-HSA-2262775;R-HSA-977371;R-HSA-174551;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-977363;R-HSA-977619;R-HSA-981713;R-HSA-2197697;R-HSA-444647;R-HSA-975852;R-HSA-8852580;R-HSA-975853;R-HSA-2197698;R-HSA-166119;R-HSA-442592;R-HSA-1861621;R-HSA-199917;R-HSA-981728;R-HSA-1306876;R-HSA-6798743;R-HSA-975100;R-HSA-9021306;R-HSA-6798739;R-HSA-168951;R-HSA-6801808;R-HSA-975865;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-975861;R-HSA-199935;R-HSA-6798747;R-HSA-6798745;R-HSA-975857"
