Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-194315,"Signaling by Rho GTPases",188,709,0.04694120762711865,1.1102230246251565E-16,6.661338147750939E-14,128,203,0.014716543424677396,9606,Homo sapiens,"UHRF1BP1L;TRIO;PRAG1;KDM1A;WIPF1;ITSN1;WIPF3;ACTB;ARHGAP35;CDC20;DOCK10;GOLGA3;PREX1;DOCK11;BAIAP2L2;ARHGAP42;BAIAP2L1;SLK;EPSTI1;ARHGEF40;TMPO;MEN1;RALBP1;TPM4;RALGAPA1;FNBP1;ACTN1;TMOD3;MRTFA;SCRIB;TEX2;SRRM1;ARHGAP45;ARMCX3;NISCH;DYNC1LI1;TIAM1;DYNC1LI2;CLIP1;WDR81;PKP4;NUP98;HIST1H2BG;CFTR;ARHGEF26;TWF1;IQGAP1;PIK3R1;RASAL2;ARHGAP15;IQGAP2;PLD1;IQGAP3;ARHGAP12;ARHGAP21;ABR;KLC4;KLC3;SCFD1;KLC2;DVL2;ABL2;MYH14;RHPN2;SRGAP2;ECT2;SPTBN1;FAM83B;PCK2;ACBD5;STARD13;JUP;ARHGAP29;ARHGAP27;ARPC5;ARHGAP24;PTK2;ARHGAP23;CCDC88B;CCDC88A;ANLN;NSFL1C;ARHGAP32;ARHGAP31;ARHGAP30;DLG5;FERMT2;MAP3K11;ARHGAP9;ZNF512B;YWHAE;ITGB1;DOCK6;DOCK5;AHCTF1;ARPC1B;DOCK8;DOCK7;CLTC;ARHGAP5;LMNB1;AKAP12;AKAP13;TUBA1B;SH3PXD2A;C1QBP;STBD1;DBT;NUF2;SPTAN1;NDEL1;DSP;PLEKHG3;NUDC;PLEKHG2;ARHGEF12;PPP1R12A;NUP133;PDPK1;ARHGEF17;H2AFX;ARHGEF16;ARHGEF18;ARAP3;ARAP1;ARFGAP3;GMIP;RANGAP1;CKAP5;ARFGAP2;VAV2;SENP1;CTTN;PEAK1;CDC42EP4;RAPGEF1;CDC42EP1;MYH9;ARHGEF1;DSG2;ARHGEF2;PPP1R12B;DBN1;DYNC1I2;ADD3;CENPA;FGD1;CENPC;FGD5;PAK1;PGRMC2;NHS;CTNNA1;FLNA;RBBP6;BUB3;WASF2;CLASP1;CLASP2;SPEN;RANBP2;FARP2;PPP1R14A;FARP1;PCDH7;LIMK1;TXNL1;MYO9B;CDC42BPB;BAIAP2;CDC42BPA;MYO9A;WDR11;SLC4A7;FMNL1;ABI2;VAPB;TAOK1;ABI1;TRIP10;PKN2;VIM;RBMX","","R-HSA-3858489;R-HSA-5668947;R-HSA-5671763;R-HSA-5623632;R-HSA-3858495;R-HSA-9018766;R-HSA-5666129;R-HSA-419087;R-HSA-75016;R-HSA-5671772;R-HSA-8981637;R-HSA-419083;R-HSA-9018758;R-HSA-9013145;R-HSA-9013144;R-HSA-5668932;R-HSA-5671749;R-HSA-5623622;R-HSA-9018778;R-HSA-9017488;R-HSA-9017491;R-HSA-3928608;R-HSA-9013143;R-HSA-9013161;R-HSA-5625717;R-HSA-9018794;R-HSA-5668978;R-HSA-5672304;R-HSA-5666160;R-HSA-5623667;R-HSA-9014433;R-HSA-9017507;R-HSA-5627775;R-HSA-9018787;R-HSA-9014434;R-HSA-9013157;R-HSA-5665659;R-HSA-9714361;R-HSA-9013159;R-HSA-5669240;R-HSA-5668984;R-HSA-5666169;R-HSA-5626469;R-HSA-9018808;R-HSA-2130194;R-HSA-9013437;R-HSA-9013438;R-HSA-9014449;R-HSA-203070;R-HSA-9018804;R-HSA-9018806;R-HSA-5665809;R-HSA-9014467;R-HSA-5625883;R-HSA-9693125;R-HSA-5663232;R-HSA-5666049;R-HSA-8980691;R-HSA-5625870;R-HSA-5665802;R-HSA-445797;R-HSA-5671737;R-HSA-5669158;R-HSA-419197;R-HSA-5665751;R-HSA-2029469;R-HSA-2029466;R-HSA-9013004;R-HSA-2029465;R-HSA-5666001;R-HSA-2029460;R-HSA-5667037;R-HSA-2029456;R-HSA-5666008;R-HSA-5625797;R-HSA-5625796;R-HSA-9014296;R-HSA-5627072;R-HSA-9013023;R-HSA-5667008;R-HSA-9013022;R-HSA-9714691;R-HSA-9013009;R-HSA-5665998;R-HSA-9696266;R-HSA-5665999;R-HSA-2197691;R-HSA-2197690;R-HSA-9696271;R-HSA-9693198;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-9714481;R-HSA-419232;R-HSA-5666046;R-HSA-9013024;R-HSA-5625849;R-HSA-5625848;R-HSA-5665767;R-HSA-5671919;R-HSA-9714477;R-HSA-2029473;R-HSA-5665686;R-HSA-5625745;R-HSA-5672083;R-HSA-9693250;R-HSA-5669250;R-HSA-442832;R-HSA-5627275;R-HSA-5626507;R-HSA-5625738;R-HSA-5672329;R-HSA-5626549;R-HSA-2197698;R-HSA-442592;R-HSA-5665982;R-HSA-5627071;R-HSA-5625784;R-HSA-9690493;R-HSA-9018745;R-HSA-9693282;R-HSA-9018747;R-HSA-9018746;R-HSA-5625774;R-HSA-9013109;R-HSA-9013111;R-HSA-9013110"
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",189,725,0.04800052966101695,1.1102230246251565E-16,6.661338147750939E-14,130,212,0.01536900101493403,9606,Homo sapiens,"UHRF1BP1L;TRIO;PRAG1;KDM1A;WIPF1;ITSN1;WIPF3;ACTB;ARHGAP35;CDC20;DOCK10;GOLGA3;PREX1;DOCK11;BAIAP2L2;ARHGAP42;BAIAP2L1;SLK;EPSTI1;ARHGEF40;TMPO;MEN1;RALBP1;TPM4;RALGAPA1;FNBP1;ACTN1;TMOD3;MRTFA;SCRIB;TEX2;SRRM1;ARHGAP45;ARMCX3;NISCH;DYNC1LI1;TIAM1;DYNC1LI2;CLIP1;WDR81;PKP4;NUP98;HIST1H2BG;CFTR;ARHGEF26;TWF1;IQGAP1;PIK3R1;RASAL2;ARHGAP15;IQGAP2;PLD1;IQGAP3;ARHGAP12;ARHGAP21;ABR;KLC4;KLC3;SCFD1;KLC2;DVL2;ABL2;MYH14;RHPN2;SRGAP2;ECT2;SPTBN1;FAM83B;PCK2;ACBD5;STARD13;JUP;ARHGAP29;ARHGAP27;ARPC5;ARHGAP24;PTK2;ARHGAP23;CCDC88B;CCDC88A;ANLN;NSFL1C;ARHGAP32;ARHGAP31;ARHGAP30;DLG5;FERMT2;MAP3K11;ARHGAP9;ZNF512B;YWHAE;ITGB1;DOCK6;DOCK5;AHCTF1;ARPC1B;DOCK8;DOCK7;CLTC;ARHGAP5;LMNB1;AKAP12;AKAP13;TUBA1B;SH3PXD2A;C1QBP;STBD1;DBT;NUF2;SPTAN1;NDEL1;DSP;PLEKHG3;NUDC;PLEKHG2;ARHGEF12;PPP1R12A;NUP133;PDPK1;ARHGEF17;H2AFX;ARHGEF16;ARHGEF18;ARAP3;ARAP1;ARFGAP3;GMIP;RANGAP1;CKAP5;ARFGAP2;VAV2;SENP1;CTTN;PEAK1;CDC42EP4;RAPGEF1;CDC42EP1;MYH9;ARHGEF1;DSG2;ARHGEF2;PPP1R12B;DBN1;DYNC1I2;ADD3;CENPA;FGD1;CENPC;TRAK2;FGD5;PAK1;PGRMC2;NHS;CTNNA1;FLNA;RBBP6;BUB3;WASF2;CLASP1;CLASP2;SPEN;RANBP2;FARP2;PPP1R14A;FARP1;PCDH7;LIMK1;TXNL1;MYO9B;CDC42BPB;BAIAP2;CDC42BPA;MYO9A;WDR11;SLC4A7;FMNL1;ABI2;VAPB;TAOK1;ABI1;TRIP10;PKN2;VIM;RBMX","","R-HSA-3858489;R-HSA-5668947;R-HSA-5671763;R-HSA-5623632;R-HSA-3858495;R-HSA-9018766;R-HSA-5666129;R-HSA-419087;R-HSA-75016;R-HSA-5671772;R-HSA-8981637;R-HSA-419083;R-HSA-9018758;R-HSA-9013145;R-HSA-9013144;R-HSA-5668932;R-HSA-5671749;R-HSA-5623622;R-HSA-9018778;R-HSA-9017488;R-HSA-9017491;R-HSA-3928608;R-HSA-9013143;R-HSA-9013161;R-HSA-5625717;R-HSA-9018794;R-HSA-5668978;R-HSA-5672304;R-HSA-5666160;R-HSA-5623667;R-HSA-9014433;R-HSA-9017507;R-HSA-5627775;R-HSA-9018787;R-HSA-9014434;R-HSA-9013157;R-HSA-5665659;R-HSA-9714361;R-HSA-9013159;R-HSA-5669240;R-HSA-5668984;R-HSA-5666169;R-HSA-5626469;R-HSA-9018808;R-HSA-2130194;R-HSA-9013437;R-HSA-9018815;R-HSA-9013438;R-HSA-9014449;R-HSA-203070;R-HSA-9018804;R-HSA-9018806;R-HSA-9018824;R-HSA-5665809;R-HSA-9014467;R-HSA-5625883;R-HSA-9693125;R-HSA-5663232;R-HSA-5666049;R-HSA-8980691;R-HSA-5625870;R-HSA-5665802;R-HSA-445797;R-HSA-5671737;R-HSA-5669158;R-HSA-419197;R-HSA-5665751;R-HSA-2029469;R-HSA-2029466;R-HSA-9013004;R-HSA-2029465;R-HSA-5666001;R-HSA-2029460;R-HSA-5667037;R-HSA-2029456;R-HSA-5666008;R-HSA-5625797;R-HSA-5625796;R-HSA-9014296;R-HSA-5627072;R-HSA-9013023;R-HSA-5667008;R-HSA-9013022;R-HSA-9714691;R-HSA-9013009;R-HSA-5665998;R-HSA-9696266;R-HSA-5665999;R-HSA-2197691;R-HSA-2197690;R-HSA-9696271;R-HSA-9693198;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-9714481;R-HSA-419232;R-HSA-5666046;R-HSA-9013024;R-HSA-5625849;R-HSA-5625848;R-HSA-5665767;R-HSA-5671919;R-HSA-9714477;R-HSA-2029473;R-HSA-5665686;R-HSA-5625745;R-HSA-5672083;R-HSA-9693250;R-HSA-5669250;R-HSA-442832;R-HSA-5627275;R-HSA-5626507;R-HSA-5625738;R-HSA-5672329;R-HSA-5626549;R-HSA-2197698;R-HSA-442592;R-HSA-5665982;R-HSA-5627071;R-HSA-5625784;R-HSA-9690493;R-HSA-9018745;R-HSA-9693282;R-HSA-9018747;R-HSA-9018746;R-HSA-5625774;R-HSA-9013109;R-HSA-9013111;R-HSA-9013110"
R-HSA-9012999,"RHO GTPase cycle",144,460,0.03045550847457627,1.1102230246251565E-16,6.661338147750939E-14,52,91,0.006597071190372626,9606,Homo sapiens,"UHRF1BP1L;TRIO;PRAG1;WIPF1;ITSN1;WIPF3;ACTB;ARHGAP35;DOCK10;GOLGA3;PREX1;DOCK11;BAIAP2L2;ARHGAP42;BAIAP2L1;SLK;EPSTI1;ARHGEF40;TMPO;RALBP1;TPM4;RALGAPA1;FNBP1;ACTN1;TMOD3;SCRIB;TEX2;SRRM1;ARHGAP45;ARMCX3;NISCH;TIAM1;WDR81;PKP4;CFTR;ARHGEF26;TWF1;IQGAP1;PIK3R1;RASAL2;ARHGAP15;IQGAP2;PLD1;IQGAP3;ARHGAP12;ARHGAP21;ABR;SCFD1;ABL2;RHPN2;SRGAP2;ECT2;SPTBN1;FAM83B;PCK2;ACBD5;STARD13;JUP;ARHGAP29;ARHGAP27;ARHGAP24;ARHGAP23;CCDC88B;CCDC88A;ANLN;NSFL1C;ARHGAP32;ARHGAP31;ARHGAP30;DLG5;FERMT2;MAP3K11;ARHGAP9;ZNF512B;DOCK6;ITGB1;DOCK5;DOCK8;DOCK7;CLTC;ARHGAP5;LMNB1;AKAP12;AKAP13;TUBA1B;SH3PXD2A;C1QBP;STBD1;DBT;SPTAN1;DSP;PLEKHG3;NUDC;PLEKHG2;ARHGEF12;ARHGEF17;ARHGEF16;ARHGEF18;ARAP3;ARAP1;ARFGAP3;GMIP;ARFGAP2;VAV2;SENP1;PEAK1;CDC42EP4;RAPGEF1;CDC42EP1;ARHGEF1;DSG2;ARHGEF2;DBN1;ADD3;FGD1;FGD5;PAK1;PGRMC2;NHS;RBBP6;WASF2;SPEN;FARP2;FARP1;PCDH7;TXNL1;MYO9B;CDC42BPB;BAIAP2;CDC42BPA;MYO9A;WDR11;SLC4A7;FMNL1;ABI2;VAPB;ABI1;TRIP10;PKN2;VIM;RBMX","","R-HSA-9013004;R-HSA-9018766;R-HSA-8981637;R-HSA-9018758;R-HSA-9013145;R-HSA-9013144;R-HSA-9014296;R-HSA-9018778;R-HSA-5627072;R-HSA-9013023;R-HSA-9013022;R-HSA-9714691;R-HSA-9013009;R-HSA-9696266;R-HSA-9017488;R-HSA-9017491;R-HSA-9696271;R-HSA-9693198;R-HSA-9013143;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-9013161;R-HSA-9018794;R-HSA-9714481;R-HSA-9014433;R-HSA-9013024;R-HSA-9017507;R-HSA-9018787;R-HSA-9014434;R-HSA-9013157;R-HSA-9714361;R-HSA-9013159;R-HSA-9018808;R-HSA-9013437;R-HSA-9013438;R-HSA-9014449;R-HSA-9714477;R-HSA-9018804;R-HSA-9018806;R-HSA-9014467;R-HSA-9693250;R-HSA-9693125;R-HSA-8980691;R-HSA-9690493;R-HSA-9018745;R-HSA-9693282;R-HSA-9018747;R-HSA-9018746;R-HSA-9013109;R-HSA-9013111;R-HSA-9013110"
R-HSA-9013148,"CDC42 GTPase cycle",62,159,0.010527012711864406,7.782663402622347E-14,3.502198531180056E-11,3,6,4.3497172683775554E-4,9606,Homo sapiens,"ARHGAP9;DOCK6;TRIO;WIPF1;DOCK8;WIPF3;ITSN1;DOCK7;ARHGAP5;ARHGAP35;DOCK10;PREX1;DOCK11;ARHGAP42;SH3PXD2A;TMPO;PLEKHG3;RALBP1;PLEKHG2;ARHGEF12;FNBP1;ARHGEF16;ARAP3;SCRIB;ARAP1;GMIP;ARFGAP3;ARHGAP45;VAV2;ARFGAP2;TIAM1;WDR81;CDC42EP4;CDC42EP1;ARHGEF26;IQGAP1;PIK3R1;IQGAP2;PLD1;IQGAP3;FGD1;ARHGAP21;ABR;PAK1;SRGAP2;ECT2;FARP1;STARD13;JUP;ARHGAP29;MYO9B;CDC42BPB;ARHGAP27;CDC42BPA;BAIAP2;ARHGAP24;ARHGAP32;FMNL1;ARHGAP31;ARHGAP30;MAP3K11","","R-HSA-9013161;R-HSA-9013157;R-HSA-9013159"
R-HSA-9013149,"RAC1 GTPase cycle",66,191,0.012645656779661016,2.467359649926948E-12,8.882494739737012E-10,3,6,4.3497172683775554E-4,9606,Homo sapiens,"ARHGAP9;ITGB1;DOCK6;DOCK5;TRIO;WIPF1;DOCK8;WIPF3;DOCK7;ARHGAP5;ARHGAP35;DOCK10;PREX1;DOCK11;ARHGAP42;BAIAP2L1;TMPO;PLEKHG3;RALBP1;PLEKHG2;ARAP3;ARHGEF18;ARAP1;GMIP;ARHGAP45;VAV2;NISCH;TIAM1;CDC42EP4;CDC42EP1;IQGAP1;PIK3R1;IQGAP2;PLD1;ARHGAP15;IQGAP3;ARHGAP12;ARHGAP21;ABR;FGD5;PAK1;NHS;ABL2;SRGAP2;ECT2;WASF2;FARP2;FARP1;ARHGAP29;MYO9B;ARHGAP27;CDC42BPA;BAIAP2;ARHGAP24;ARHGAP23;ARHGAP32;FMNL1;ARHGAP31;ARHGAP30;ABI2;ABI1;PKN2;FERMT2","","R-HSA-9013145;R-HSA-9013144;R-HSA-9013143"
R-HSA-8980692,"RHOA GTPase cycle",53,154,0.010195974576271187,3.951924343326141E-10,1.1855773029978423E-7,4,6,4.3497172683775554E-4,9606,Homo sapiens,"ARHGAP9;TRIO;ARHGAP5;ARHGAP35;AKAP13;PREX1;ARHGAP42;SLK;C1QBP;STBD1;ARHGEF40;TMPO;PLEKHG3;ARHGEF12;ARHGEF17;ARAP3;ARHGEF18;ARAP1;TEX2;GMIP;ARHGAP45;VAV2;TIAM1;ARHGEF1;ARHGEF2;IQGAP1;PIK3R1;PLD1;IQGAP3;ARHGAP21;ABR;SCFD1;PAK1;PGRMC2;RHPN2;ECT2;PCK2;FARP1;ACBD5;STARD13;JUP;PCDH7;ARHGAP29;MYO9B;MYO9A;ARHGAP24;ARHGAP23;ANLN;ARHGAP32;ARHGAP31;ARHGAP30;VAPB;PKN2","","R-HSA-9013004;R-HSA-9013009;R-HSA-8980691;R-HSA-8981637"
R-HSA-9725370,"Signaling by ALK fusions and activated point mutants",27,66,0.004369703389830508,3.064880540470938E-7,6.89598121605961E-5,26,29,0.002102363346382485,9606,Homo sapiens,"CARS;SHC1;IRS1;CLTC;RRBP1;PIK3R1;MECP2;PLCG1;SEC31A;RANBP2;NPM1;TPM4;TPM1;STAT3;EIF2AK3;MSN;LMO7;EML4;ZC3HC1;EEF1G;PPFIBP1;MYH9;STRN;SQSTM1;VCL","","R-HSA-9712084;R-HSA-9700181;R-HSA-9712085;R-HSA-9712086;R-HSA-9712087;R-HSA-9712081;R-HSA-9725009;R-HSA-9712082;R-HSA-9700179;R-HSA-9712083;R-HSA-9700190;R-HSA-9725342;R-HSA-9725023;R-HSA-9712088;R-HSA-9725338;R-HSA-9710917;R-HSA-9710914;R-HSA-9724099;R-HSA-9712078;R-HSA-9712079;R-HSA-9701903;R-HSA-9701810;R-HSA-9724090;R-HSA-9725030;R-HSA-9700193;R-HSA-9725357"
R-HSA-9700206,"Signaling by ALK in cancer",27,66,0.004369703389830508,3.064880540470938E-7,6.89598121605961E-5,27,37,0.0026823256488328257,9606,Homo sapiens,"CARS;SHC1;IRS1;CLTC;RRBP1;PIK3R1;MECP2;PLCG1;SEC31A;RANBP2;NPM1;TPM4;TPM1;STAT3;EIF2AK3;MSN;LMO7;EML4;ZC3HC1;EEF1G;PPFIBP1;MYH9;STRN;SQSTM1;VCL","","R-HSA-9712084;R-HSA-9700181;R-HSA-9712085;R-HSA-9712086;R-HSA-9712087;R-HSA-9712081;R-HSA-9725009;R-HSA-9712082;R-HSA-9700179;R-HSA-9712083;R-HSA-9700190;R-HSA-9725342;R-HSA-9725023;R-HSA-9712088;R-HSA-9725338;R-HSA-9710917;R-HSA-9710914;R-HSA-9724099;R-HSA-9712078;R-HSA-9712079;R-HSA-9701903;R-HSA-9701810;R-HSA-9724090;R-HSA-9725030;R-HSA-9700193;R-HSA-9700131;R-HSA-9725357"
R-HSA-9013106,"RHOC GTPase cycle",27,79,0.005230402542372881,8.142854136083955E-6,0.001628570827216791,4,6,4.3497172683775554E-4,9606,Homo sapiens,"IQGAP1;PIK3R1;ARHGAP5;IQGAP3;ARHGAP35;AKAP13;PREX1;ARHGAP21;ABR;PAK1;SLK;C1QBP;ARHGEF40;TMPO;PCK2;ACBD5;STARD13;ARHGEF12;JUP;ARHGEF17;MYO9B;VAV2;ANLN;ARHGAP32;VAPB;ARHGEF1;PKN2","","R-HSA-9013109;R-HSA-9714361;R-HSA-9013111;R-HSA-9013110"
R-HSA-9013026,"RHOB GTPase cycle",26,75,0.004965572033898305,9.324492961093611E-6,0.00167840873299685,4,6,4.3497172683775554E-4,9606,Homo sapiens,"PIK3R1;ARHGAP5;IQGAP3;ARHGAP35;AKAP13;PREX1;ARHGAP21;ABR;PAK1;SLK;RHPN2;ECT2;PCK2;STARD13;ARHGEF12;JUP;PCDH7;ARHGEF17;MYO9B;MYO9A;VAV2;ANLN;ARHGAP32;ARHGEF1;PKN2;ARHGEF2","","R-HSA-9013023;R-HSA-9013022;R-HSA-9013024;R-HSA-9690493"
