#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcf1	Eif3h	10090.ENSMUSP00000036881	10090.ENSMUSP00000022925	0	0	0	0	0	0	0.540	0	0.540
Abcf1	Rpl6	10090.ENSMUSP00000036881	10090.ENSMUSP00000031617	0	0	0	0	0	0.216	0.720	0	0.771
Abcf1	Eef2	10090.ENSMUSP00000036881	10090.ENSMUSP00000046101	0	0	0	0	0	0.233	0.720	0	0.776
Acin1	Zc3h18	10090.ENSMUSP00000022793	10090.ENSMUSP00000017622	0	0	0	0	0	0.498	0	0	0.497
Acin1	Prpf40a	10090.ENSMUSP00000022793	10090.ENSMUSP00000075655	0	0	0	0	0	0.404	0	0	0.404
Acin1	Srpk1	10090.ENSMUSP00000022793	10090.ENSMUSP00000116259	0	0	0	0	0	0.439	0	0	0.439
Acin1	Pabpn1	10090.ENSMUSP00000022793	10090.ENSMUSP00000022808	0	0	0	0	0	0.560	0	0	0.560
Acin1	Srrm1	10090.ENSMUSP00000022793	10090.ENSMUSP00000125003	0	0	0	0	0	0.666	0	0	0.666
Acin1	Srrm2	10090.ENSMUSP00000022793	10090.ENSMUSP00000085993	0	0	0	0	0	0.404	0	0	0.404
Adam10	Ctnnd1	10090.ENSMUSP00000063839	10090.ENSMUSP00000064518	0	0	0	0	0	0	0.585	0	0.585
Akap8	Eef1b2	10090.ENSMUSP00000002699	10090.ENSMUSP00000116492	0	0	0	0	0	0.403	0	0	0.402
Akt2	Raf1	10090.ENSMUSP00000103981	10090.ENSMUSP00000000451	0	0	0	0.588	0	0.434	0.891	0	0.935
Akt2	Igf1r	10090.ENSMUSP00000103981	10090.ENSMUSP00000005671	0	0	0	0.558	0	0.087	0.384	0	0.413
Akt2	Gsk3b	10090.ENSMUSP00000103981	10090.ENSMUSP00000023507	0	0	0	0.588	0	0.528	0.932	0	0.966
Akt2	Hsp90ab1	10090.ENSMUSP00000103981	10090.ENSMUSP00000024739	0	0	0	0	0	0.478	0.789	0	0.885
Akt2	Dkc1	10090.ENSMUSP00000103981	10090.ENSMUSP00000033776	0	0	0	0	0	0.095	0.479	0	0.508
Akt2	Eif4ebp1	10090.ENSMUSP00000103981	10090.ENSMUSP00000033880	0	0	0	0	0	0.402	0.479	0	0.675
Akt2	Ptges3	10090.ENSMUSP00000103981	10090.ENSMUSP00000050292	0	0	0	0	0	0.058	0.479	0	0.488
Akt2	Mapk1	10090.ENSMUSP00000103981	10090.ENSMUSP00000065983	0	0	0	0.595	0	0.147	0.816	0	0.836
Akt2	Insr	10090.ENSMUSP00000103981	10090.ENSMUSP00000088837	0	0	0	0.561	0	0.045	0.676	0	0.677
Akt2	Hsp90aa1	10090.ENSMUSP00000103981	10090.ENSMUSP00000091921	0	0	0	0	0	0.478	0.815	0	0.899
Akt2	Mtor	10090.ENSMUSP00000103981	10090.ENSMUSP00000099510	0	0	0	0	0	0.335	0.966	0	0.976
Akt2	Itgb4	10090.ENSMUSP00000103981	10090.ENSMUSP00000102068	0	0	0	0	0	0.057	0.479	0	0.487
Akt2	Akt3	10090.ENSMUSP00000103981	10090.ENSMUSP00000106789	0	0	0	0.978	0	0.273	0.952	0	0.964
Akt3	Raf1	10090.ENSMUSP00000106789	10090.ENSMUSP00000000451	0	0	0	0.593	0	0.574	0.905	0	0.958
Akt3	Igf1r	10090.ENSMUSP00000106789	10090.ENSMUSP00000005671	0	0	0	0.558	0	0.090	0.384	0	0.415
Akt3	Gsk3b	10090.ENSMUSP00000106789	10090.ENSMUSP00000023507	0	0	0	0.589	0	0.237	0.905	0	0.924
Akt3	Hsp90ab1	10090.ENSMUSP00000106789	10090.ENSMUSP00000024739	0	0	0	0	0	0.590	0.791	0	0.911
Akt3	Parva	10090.ENSMUSP00000106789	10090.ENSMUSP00000033030	0	0	0	0	0	0	0.547	0	0.547
Akt3	Dkc1	10090.ENSMUSP00000106789	10090.ENSMUSP00000033776	0	0	0	0	0	0.095	0.547	0	0.572
Akt3	Eif4ebp1	10090.ENSMUSP00000106789	10090.ENSMUSP00000033880	0	0	0	0	0	0.259	0.547	0	0.649
Akt3	Ptges3	10090.ENSMUSP00000106789	10090.ENSMUSP00000050292	0	0	0	0	0	0.058	0.547	0	0.555
Akt3	Mapk1	10090.ENSMUSP00000106789	10090.ENSMUSP00000065983	0	0	0	0.602	0	0.147	0.816	0	0.836
Akt3	Insr	10090.ENSMUSP00000106789	10090.ENSMUSP00000088837	0	0	0	0.563	0	0.045	0.547	0	0.548
Akt3	Hsp90aa1	10090.ENSMUSP00000106789	10090.ENSMUSP00000091921	0	0	0	0	0	0.727	0.817	0	0.948
Akt3	Mtor	10090.ENSMUSP00000106789	10090.ENSMUSP00000099510	0	0	0	0	0	0.456	0.952	0	0.973
