#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Akt1	Raf1	10090.ENSMUSP00000001780	10090.ENSMUSP00000000451	0	0	0	0.584	0	0.766	0.932	0	0.983
Akt1	Igf1r	10090.ENSMUSP00000001780	10090.ENSMUSP00000005671	0	0	0	0.554	0	0.130	0.384	0	0.441
Akt1	Insr	10090.ENSMUSP00000001780	10090.ENSMUSP00000088837	0	0	0	0.560	0	0.435	0.676	0	0.809
Akt1	Ins2	10090.ENSMUSP00000001780	10090.ENSMUSP00000101553	0	0	0	0	0	0.114	0.585	0	0.616
Akt1	Mapk1	10090.ENSMUSP00000001780	10090.ENSMUSP00000065983	0	0	0	0.593	0	0.147	0.816	0	0.836
Akt1	Ptpn1	10090.ENSMUSP00000001780	10090.ENSMUSP00000029053	0	0	0	0	0	0.148	0.676	0	0.712
Akt1	Akt2	10090.ENSMUSP00000001780	10090.ENSMUSP00000103981	0	0	0	0.981	0	0.548	0.966	0	0.984
Akt1	Creb1	10090.ENSMUSP00000001780	10090.ENSMUSP00000140112	0	0	0	0	0	0.130	0.961	0	0.964
Akt1	Mtor	10090.ENSMUSP00000001780	10090.ENSMUSP00000099510	0	0	0	0	0	0.849	0.966	0	0.994
Akt2	Raf1	10090.ENSMUSP00000103981	10090.ENSMUSP00000000451	0	0	0	0.588	0	0.434	0.891	0	0.935
Akt2	Igf1r	10090.ENSMUSP00000103981	10090.ENSMUSP00000005671	0	0	0	0.558	0	0.087	0.384	0	0.413
Akt2	Ptpn1	10090.ENSMUSP00000103981	10090.ENSMUSP00000029053	0	0	0	0	0	0.148	0.479	0	0.537
Akt2	Mapk1	10090.ENSMUSP00000103981	10090.ENSMUSP00000065983	0	0	0	0.595	0	0.147	0.816	0	0.836
Akt2	Insr	10090.ENSMUSP00000103981	10090.ENSMUSP00000088837	0	0	0	0.561	0	0.045	0.676	0	0.677
Akt2	Mtor	10090.ENSMUSP00000103981	10090.ENSMUSP00000099510	0	0	0	0	0	0.335	0.966	0	0.976
Akt2	Ins2	10090.ENSMUSP00000103981	10090.ENSMUSP00000101553	0	0	0	0	0	0.114	0.585	0	0.616
Akt2	Creb1	10090.ENSMUSP00000103981	10090.ENSMUSP00000140112	0	0	0	0	0	0.087	0.948	0	0.950
Ap1s1	Igf2r	10090.ENSMUSP00000106709	10090.ENSMUSP00000024599	0	0	0	0	0	0	0.720	0	0.720
Ap1s1	Necap2	10090.ENSMUSP00000106709	10090.ENSMUSP00000030760	0	0	0	0	0	0.237	0.900	0	0.920
Ap1s1	Snx5	10090.ENSMUSP00000106709	10090.ENSMUSP00000105657	0	0	0	0	0	0	0.600	0	0.600
Cox17	Dbi	10090.ENSMUSP00000054086	10090.ENSMUSP00000114705	0	0	0	0	0	0.453	0	0	0.453
Creb1	Mapk1	10090.ENSMUSP00000140112	10090.ENSMUSP00000065983	0	0	0	0	0	0.100	0.864	0	0.873
Cstf2	Wdr77	10090.ENSMUSP00000033609	10090.ENSMUSP00000010278	0	0	0	0	0	0.535	0	0	0.535
Cstf2	Wdr33	10090.ENSMUSP00000033609	10090.ENSMUSP00000025264	0	0	0	0	0	0.535	0.600	0	0.806
Cstf2	Ncbp1	10090.ENSMUSP00000033609	10090.ENSMUSP00000030014	0	0	0	0	0	0.264	0.600	0	0.693
Cstf2	Snrpa	10090.ENSMUSP00000033609	10090.ENSMUSP00000079228	0	0	0	0	0	0.240	0.247	0	0.403
Gna14	Mapk1	10090.ENSMUSP00000025602	10090.ENSMUSP00000065983	0	0	0	0	0	0.177	0.354	0	0.445
Gosr1	Ins2	10090.ENSMUSP00000010536	10090.ENSMUSP00000101553	0	0	0	0	0	0	0.600	0	0.600
Igf1r	Raf1	10090.ENSMUSP00000005671	10090.ENSMUSP00000000451	0	0	0	0.585	0	0.069	0.629	0	0.639
Igf1r	Sh3gl1	10090.ENSMUSP00000005671	10090.ENSMUSP00000003268	0	0	0	0	0	0.105	0.635	0	0.660
Igf1r	Mapk1	10090.ENSMUSP00000005671	10090.ENSMUSP00000065983	0	0	0	0.568	0	0.147	0.676	0	0.711
Igf1r	Insr	10090.ENSMUSP00000005671	10090.ENSMUSP00000088837	0	0	0	0.956	0	0.748	0.800	0	0.947
Igf1r	Kras	10090.ENSMUSP00000005671	10090.ENSMUSP00000032399	0	0	0	0	0	0.137	0.867	0	0.880
