,,,,,,,,,,,,,,,,,,,,2.831,,,2.674,,,2.614,,,2.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.564,,,0.57,,,0.334,,,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein FDR Confidence: Combined,Master,Accession,Gene Symbol,Protein,Description,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Reactome Pathways,WikiPathways,(G12D_KO) / (G12D_WT),Adj. P-Value: (G12D_KO) / (G12D_WT),significant (G12D_KO) / (G12D_WT),(G12D_HET) / (G12D_WT),Adj. P-Value: (G12D_HET) / (G12D_WT),significant (G12D_HET) / (G12D_WT),(G_KO) / (G_WT),Adj. P-Value: (G_KO) / (G_WT),significant (G_KO) / (G_WT),(G12D_WT) / (G_WT),Adj. P-Value: (G12D_WT) / (G_WT),significant (G12D_WT) / (G_WT),17_KO_G_1905,10_KO_G_2063,18_WT_G_1760,20_WT_G_1866,19_WT_G_1790,6_Het_G12D_2003,1_Het_G12D_2066,3_Het_G12D_2049,4_Het_G12D_2042,2_Het_G12D_2053,5_Het_G12D_2005,12_KO_G12D_2116,15_KO_G12D_2051,16_KO_G12D_2023,11_KO_G12D_2126,13_KO_G12D_2079,14_KO_G12D_2070,8_WT_G12D_2045,7_WT_G12D_2067,9_WT_G12D_1860,G KO,G WT,G12D Het,G12D KO,G12D WT,keep reject,17_KO_G_1905,10_KO_G_2063,18_WT_G_1760,20_WT_G_1866,19_WT_G_1790,6_Het_G12D_2003,1_Het_G12D_2066,3_Het_G12D_2049,4_Het_G12D_2042,2_Het_G12D_2053,5_Het_G12D_2005,12_KO_G12D_2116,15_KO_G12D_2051,16_KO_G12D_2023,11_KO_G12D_2126,13_KO_G12D_2079,14_KO_G12D_2070,8_WT_G12D_2045,7_WT_G12D_2067,9_WT_G12D_1860
High,Master Protein,Q3SYP2,Ctrc,Chymotrypsin-C,Chymotrypsin-C OS=Mus musculus OX=10090 GN=Ctrc PE=1 SV=1,32,5,37,5,5,29.5,5.15,67.58,5,protein metabolism;other biological processes,,other molecular function,,,11.519,1.07E-15,UP,13.987,1.90E-15,UP,0.115,7.39E-16,DOWN,0.01,9.69E-16,DOWN,843137762.6,,564160503.1,1287426.125,272162136.8,812918359,258561628,,2902238.75,337245.9688,669255341.8,837651.375,,313211275.7,1486598.813,421107502.2,695848078.5,280132.7188,130777920.1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1370918352,7422311.917,1143306453,6029301.091,876310314.2,813055548.9,879745311.4,8014292.849,10348142.31,8080695.463,1141411841,6485309.764,8836304.896,645865691.1,5022434.263,764306503.9,1090682252,2004733.981,387342042.5,6558105.115
High,Master Protein,Q91YE8,Synpo2,Synaptopodin-2,Synaptopodin-2 OS=Mus musculus OX=10090 GN=Synpo2 PE=1 SV=2,2,2,6,2,2,116.5,7.37,15.24,2,cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,cytoskeletal activity;other molecular function,,,17.052,1.07E-15,UP,21.805,1.90E-15,UP,0.978,9.86E-01,,0.089,7.41E-07,DOWN,89373384,17591626,11089659,36802932.75,36263396,191674461,10760824,121666293.5,53479017.19,9810193.281,118330104.5,55731780,101695012,67354088,22095260.5,69025260,30897267.5,24868886,473936.75,2502472.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,146779372.9,27505434.25,22599277.16,64959519.87,118532214.5,191674461,36452384.76,338372136.1,82503623.68,37949144.8,201467764.2,77785834.7,124338133.4,139537368.6,45747302.18,125242471.9,48428819.93,34414700.98,3639066.709,5767194.442
High,Master Protein,Q8C407,Yipf4,Protein YIPF4,Protein YIPF4 OS=Mus musculus OX=10090 GN=Yipf4 PE=1 SV=1,4,1,2,1,1,27.3,4.65,2.28,1,,plasma membrane;other membranes;ER/Golgi;other cell component,,,,9.737,1.07E-15,UP,9.14,1.90E-15,UP,0.586,1.54E-02,,0.075,9.69E-16,DOWN,47390388,236774544,142286832,165849888,29908070,92275296,118485572,38128804,113897168,57251196,136040304,203670976,122692336,75681416,199236832,54444360,191148016,10705421,7340816.5,145039056,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,77031216.89,370209476.5,288353141.2,292735613.4,95977913.01,92275296,401370904.3,106041899.4,175712449.1,221466984.8,231620989.5,284267196.8,150010661.7,155338602.9,412511432.4,98786244.73,299608140,14191353.59,21582276.28,295958011.6
High,Master Protein,Q9CR36,Gkn1,Gastrokine-1,Gastrokine-1 OS=Mus musculus OX=10090 GN=Gkn1 PE=2 SV=2,22,3,10,3,3,21.9,6.52,32.16,3,,,,,,0.064,1.07E-15,DOWN,4.748,9.49E-13,UP,0.662,8.52E-01,,13.401,4.16E-10,UP,,,5491613,,,352509108,178964610,136296893,74787532,,426409064,58950651,,,,2451326.5,,513315496,18014899.38,37730948.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,4350053.178,3323174.758,14698579.34,5745172.987,4942168.239,352509108,606244170.8,379062018.7,116178794.4,1338884.991,726000210.4,82452707.16,5569055.721,4315558.998,1990439.909,7957812.052,4076373.359,680462889.5,53302916.5,76991513.88
High,Master Protein,P31786,Dbi,Acyl-CoA-binding protein,Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=2,56,3,31,3,3,10,8.82,90.29,3,cell cycle OR cell proliferation;other metabolic processes;stress response;developmental processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytoskeleton;ER/Golgi;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,Mitochondrial Fatty Acid Beta-Oxidation,PPAR signaling pathway,7.652,1.07E-15,UP,5.088,1.47E-11,UP,0.152,7.39E-16,DOWN,0.11,9.69E-16,DOWN,11173816,252135576,293891206.5,378343986,14902596,217100290,152502001,29967210,311111459,129593343,135520486,456058466,448787888.4,,222362792.5,71654896,495999545.5,18021152,21556608,210847592.3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,20745842.32,394227259.5,595588863.5,670275998.5,51261676.31,218821281.8,516601853,87125449.36,479960629.1,501571214.4,232701656.8,638835537.4,548713719.9,3963418.884,460392755.3,131378039.7,777436796.8,28083202.63,65688643.89,430242969.5
High,Master Protein,Q9CWZ3,Rbm8a,RNA-binding protein 8A,RNA-binding protein 8A OS=Mus musculus OX=10090 GN=Rbm8a PE=1 SV=4,17,3,16,3,3,19.9,5.72,33.39,3,RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,nucleus;other cell component,nucleic acid binding activity,Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA Splicing - Major Pathway; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); mRNA 3'-end processing; RNA Polymerase II Transcription Termination,mRNA processing,22.563,1.07E-15,UP,21.1,3.69E-11,UP,0.606,5.53E-01,,0.062,2.94E-08,DOWN,7125869.5,33233941,21797979,34103856.5,,54380490,20984724,13222841,44243917,16122384.88,14926570.5,53185844,53986236,28625368.5,32116911,26133570,15719942,44485552,,884950.9375,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,13780148.22,51963018.03,44174964.25,60195478.41,3225415.882,54380490,71085934.82,38432368.02,68256368.01,62366836.26,25413843.75,74232426.62,66006657.37,58754513.13,66496705.59,48312825.61,24639662.41,59063541.26,2760038.675,1858423.657
High,Master Protein,Q9CQS6,Gkn2,Gastrokine-2,Gastrokine-2 OS=Mus musculus OX=10090 GN=Gkn2 PE=1 SV=1,11,2,8,2,2,20.5,8.73,6.54,2,other biological processes,non-structural extracellular;ER/Golgi;other cell component,,,,0.043,1.07E-15,DOWN,3.934,3.03E-10,UP,2.16,8.29E-01,,28.155,3.56E-12,UP,2153708.5,3562115.5,,1655458,,194829392,284792346,168058054,35737200.38,,664874368,47324324,1000744.563,,,,,355676704,26092239,12875606.88,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,4288818.09,8077749.725,2724616.354,3185693.134,1438890.764,194829392,964736545.7,467394551.8,56680053.83,3240804.541,1132009077,67371467.33,3623652.753,4145718.71,2235278.747,771732.9256,3011119.353,471493262.1,76712162.86,26273192.3
