#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Acox1	Apoa2	10090.ENSMUSP00000063325	10090.ENSMUSP00000005824	0	0	0	0	0	0	0.629	0	0.629
Acox1	Fabp4	10090.ENSMUSP00000063325	10090.ENSMUSP00000029041	0	0	0	0	0	0.131	0.399	0	0.455
Acox1	Fabp5	10090.ENSMUSP00000063325	10090.ENSMUSP00000029046	0	0	0	0	0	0.131	0.399	0	0.455
Acox1	Scp2	10090.ENSMUSP00000063325	10090.ENSMUSP00000030340	0	0	0	0	0	0.698	0.800	0	0.937
Acox1	Sra1	10090.ENSMUSP00000063325	10090.ENSMUSP00000133360	0	0	0	0	0	0	0.629	0	0.629
Acox1	Fabp1	10090.ENSMUSP00000063325	10090.ENSMUSP00000064655	0	0	0	0	0	0.131	0.629	0	0.663
Acsl5	Pnliprp2	10090.ENSMUSP00000046585	10090.ENSMUSP00000026081	0	0	0	0	0	0	0.600	0	0.600
Acsl5	Cel	10090.ENSMUSP00000046585	10090.ENSMUSP00000028161	0	0	0	0	0	0	0.600	0	0.600
Acsl5	Pnliprp1	10090.ENSMUSP00000046585	10090.ENSMUSP00000045465	0	0	0	0	0	0	0.600	0	0.600
Acsl5	Pnlip	10090.ENSMUSP00000046585	10090.ENSMUSP00000056377	0	0	0	0	0	0	0.600	0	0.600
Actr1b	Dctn3	10090.ENSMUSP00000047326	10090.ENSMUSP00000030158	0	0	0	0	0	0.760	0.800	0	0.949
Actr1b	Capza1	10090.ENSMUSP00000047326	10090.ENSMUSP00000102381	0	0	0	0	0	0.455	0	0	0.455
Adh5	Ahcyl2	10090.ENSMUSP00000005964	10090.ENSMUSP00000110897	0	0	0	0	0	0.401	0	0	0.400
Adh5	Ugt1a7c	10090.ENSMUSP00000005964	10090.ENSMUSP00000058683	0	0	0	0	0	0	0.650	0	0.650
Ahcyl2	Cbs	10090.ENSMUSP00000110897	10090.ENSMUSP00000066878	0	0	0	0	0	0.161	0.900	0	0.912
Aifm1	H2afy	10090.ENSMUSP00000041104	10090.ENSMUSP00000016081	0	0	0	0	0	0.135	0.600	0	0.639
Akt1	Raf1	10090.ENSMUSP00000001780	10090.ENSMUSP00000000451	0	0	0	0.584	0	0.766	0.932	0	0.983
Akt1	Igf1r	10090.ENSMUSP00000001780	10090.ENSMUSP00000005671	0	0	0	0.554	0	0.130	0.384	0	0.441
Akt1	Gng12	10090.ENSMUSP00000001780	10090.ENSMUSP00000109863	0	0	0	0	0	0	0.759	0	0.759
Akt1	Insr	10090.ENSMUSP00000001780	10090.ENSMUSP00000088837	0	0	0	0.560	0	0.435	0.676	0	0.809
Akt1	Ins2	10090.ENSMUSP00000001780	10090.ENSMUSP00000101553	0	0	0	0	0	0.114	0.585	0	0.616
Akt1	Mapk1	10090.ENSMUSP00000001780	10090.ENSMUSP00000065983	0	0	0	0.593	0	0.147	0.816	0	0.836
Akt1	Akt3	10090.ENSMUSP00000001780	10090.ENSMUSP00000106789	0	0	0	0.981	0	0.057	0.900	0	0.901
Akt1	Ptpn1	10090.ENSMUSP00000001780	10090.ENSMUSP00000029053	0	0	0	0	0	0.148	0.676	0	0.712
Akt1	Ptpn11	10090.ENSMUSP00000001780	10090.ENSMUSP00000098333	0	0	0	0	0	0.089	0.676	0	0.692
Akt1	Rac1	10090.ENSMUSP00000001780	10090.ENSMUSP00000079380	0	0	0	0	0	0.137	0.746	0	0.771
Akt1	Eif4ebp1	10090.ENSMUSP00000001780	10090.ENSMUSP00000033880	0	0	0	0	0	0.311	0.676	0	0.767
Akt1	Akt2	10090.ENSMUSP00000001780	10090.ENSMUSP00000103981	0	0	0	0.981	0	0.548	0.966	0	0.984
Akt1	Creb1	10090.ENSMUSP00000001780	10090.ENSMUSP00000140112	0	0	0	0	0	0.130	0.961	0	0.964
Akt1	Mtor	10090.ENSMUSP00000001780	10090.ENSMUSP00000099510	0	0	0	0	0	0.849	0.966	0	0.994
Akt2	Raf1	10090.ENSMUSP00000103981	10090.ENSMUSP00000000451	0	0	0	0.588	0	0.434	0.891	0	0.935
Akt2	Igf1r	10090.ENSMUSP00000103981	10090.ENSMUSP00000005671	0	0	0	0.558	0	0.087	0.384	0	0.413
Akt2	Ptpn1	10090.ENSMUSP00000103981	10090.ENSMUSP00000029053	0	0	0	0	0	0.148	0.479	0	0.537
Akt2	Eif4ebp1	10090.ENSMUSP00000103981	10090.ENSMUSP00000033880	0	0	0	0	0	0.402	0.479	0	0.675
Akt2	Mapk1	10090.ENSMUSP00000103981	10090.ENSMUSP00000065983	0	0	0	0.595	0	0.147	0.816	0	0.836
Akt2	Rac1	10090.ENSMUSP00000103981	10090.ENSMUSP00000079380	0	0	0	0	0	0.137	0.746	0	0.771
Akt2	Insr	10090.ENSMUSP00000103981	10090.ENSMUSP00000088837	0	0	0	0.561	0	0.045	0.676	0	0.677
Akt2	Ptpn11	10090.ENSMUSP00000103981	10090.ENSMUSP00000098333	0	0	0	0	0	0.089	0.479	0	0.505
Akt2	Mtor	10090.ENSMUSP00000103981	10090.ENSMUSP00000099510	0	0	0	0	0	0.335	0.966	0	0.976
Akt2	Ins2	10090.ENSMUSP00000103981	10090.ENSMUSP00000101553	0	0	0	0	0	0.114	0.585	0	0.616
Akt2	Gng12	10090.ENSMUSP00000103981	10090.ENSMUSP00000109863	0	0	0	0	0	0	0.759	0	0.759
Akt2	Akt3	10090.ENSMUSP00000103981	10090.ENSMUSP00000106789	0	0	0	0.978	0	0.273	0.952	0	0.964
Akt2	Creb1	10090.ENSMUSP00000103981	10090.ENSMUSP00000140112	0	0	0	0	0	0.087	0.948	0	0.950
Akt3	Raf1	10090.ENSMUSP00000106789	10090.ENSMUSP00000000451	0	0	0	0.593	0	0.574	0.905	0	0.958
Akt3	Igf1r	10090.ENSMUSP00000106789	10090.ENSMUSP00000005671	0	0	0	0.558	0	0.090	0.384	0	0.415
Akt3	Ptpn1	10090.ENSMUSP00000106789	10090.ENSMUSP00000029053	0	0	0	0	0	0.148	0.547	0	0.597
Akt3	Eif4ebp1	10090.ENSMUSP00000106789	10090.ENSMUSP00000033880	0	0	0	0	0	0.259	0.547	0	0.649
Akt3	Mapk1	10090.ENSMUSP00000106789	10090.ENSMUSP00000065983	0	0	0	0.602	0	0.147	0.816	0	0.836
Akt3	Rac1	10090.ENSMUSP00000106789	10090.ENSMUSP00000079380	0	0	0	0	0	0.137	0.746	0	0.771
